#ColName,ACTION_DB,TEXT POSITION,TYPES,DefaultValue,EXTERNAL,KEY_UPDATE_OR_DELETE,Role in Action Column,Require Field,ValidFunc
MEMBER_PRODUCT_ID,I,99,INTEGER,,GET_SEQ|m_member_product,N,AD,N,N
CREATED,I,99,TIMESTAMP,,GET_CURRENT_TIMESTAMP,N,AD,N,N
CREATED_BY,I,99,VARCHAR,1,,N,AD,N,N
UPDATED,U,99,TIMESTAMP,,GET_CURRENT_TIMESTAMP,N,AD,N,N
UPDATED_BY,U,99,VARCHAR,1,,N,AD,N,N
CUSTOMER_ID,UI,0,INTEGER,,FIND_CUSTOMER_ID_BY_REFERENCE_ID,Y,AD,N,N
PRODUCT_ID,UI,33,INTEGER,,FIND_MEMBER_PRODUCT_ID_BY_CODE,N,AD,N,N
UOM_ID,UI,34,VARCHAR,,N,N,AD,N,N
ORDER_QTY,UI,35,INTEGER,,N,N,AD,N,N
